Job Class,Percentage
Management,6.1,https://en.wikipedia.org/wiki/Management
Business and Financial operations,5,https://en.wikipedia.org/wiki/Business
Computer and Mathematical,2.7,https://en.wikipedia.org/wiki/Computer
Architecture and Engineering,1.7,https://en.wikipedia.org/wiki/Architecture
"Life, Physical and Social Science",0.9,https://en.wikipedia.org/wiki/Outline_of_physical_science
Community and Social Service,1.6,https://en.wikipedia.org/wiki/Community_service
Legal,0.8,https://en.wikipedia.org/wiki/Law
"Education, training and library",6.1,https://en.wikipedia.org/wiki/Education
"Arts, design, entertainment, sports and media",1.7,https://en.wikipedia.org/wiki/The_arts
Healthcare practioners and technical,5.5,https://en.wikipedia.org/wiki/Health_care
Healthcare support,2.8,https://en.wikipedia.org/wiki/Health_care
Protective service,2.3,https://en.wikipedia.org/wiki/Security
Food preparation and serving,8.3,https://en.wikipedia.org/wiki/Outline_of_food_preparation
Building and grounds cleaning and maintenance,3.7,https://en.wikipedia.org/wiki/Building
Personal care and service,4,https://en.wikipedia.org/wiki/Personal_care
Sales,10.2,https://en.wikipedia.org/wiki/Sales
Office and administrative support,15.1,https://en.wikipedia.org/wiki/Office
"Farming, fishing and forestry",0.6,https://en.wikipedia.org/wiki/Farm
Construction and extraction,4.3,https://en.wikipedia.org/wiki/Construction
"Installation, maintenance and repair",3.8,https://en.wikipedia.org/wiki/Maintenance
Production,6.1,https://en.wikipedia.org/wiki/Production
Transportation and material moving,6.5,https://en.wikipedia.org/wiki/Transport
Total,99.8
